Batch,Decom Loss,Relight Loss
17,0.0118,0.2565
18,0.012,0.2561
19,0.012,0.2557
20,0.0117,0.2556
21,0.0118,0.2548
22,0.0119,0.2545
23,0.0118,0.2543
24,0.0119,0.2539
25,0.0119,0.2534
26,0.0117,0.2532
27,0.0117,0.253
28,0.0117,0.2523
29,0.0118,0.252
30,0.0116,0.2518
31,0.0117,0.2512
32,0.0118,0.2509
33,0.0116,0.2508
34,0.0117,0.2501
35,0.0119,0.2497
36,0.0115,0.2493
37,0.0113,0.2495
38,0.0115,0.2491
39,0.0117,0.2506
40,0.0117,0.2484
41,0.0116,0.2486
42,0.0114,0.2473
43,0.0116,0.2472
44,0.0115,0.2463
45,0.0115,0.2461
46,0.0115,0.246
47,0.0114,0.2454
48,0.0114,0.2448
49,0.0114,0.2447
50,0.0112,0.2444
51,0.0114,0.2437
52,0.0113,0.2433
53,0.0114,0.2429
54,0.0113,0.2428
55,0.0114,0.2421
56,0.0113,0.2425
57,0.0114,0.2414
58,0.0114,0.2412
59,0.0114,0.2403
60,0.0115,0.2399
61,0.0113,0.2403
62,0.0113,0.2398
63,0.0114,0.2387
64,0.0115,0.2411
65,0.0113,0.238
66,0.0113,0.2393
67,0.0112,0.2373
68,0.0117,0.2406
69,0.0115,0.2362
70,0.0113,0.2363
71,0.0115,0.2353
72,0.0114,0.2355
73,0.0114,0.2356
74,0.0116,0.2374
75,0.0113,0.2358
76,0.0112,0.2335
77,0.0114,0.2348
78,0.0113,0.2327
79,0.011,0.2326
80,0.0114,0.2341
81,0.0113,0.2319
82,0.011,0.2313
83,0.0111,0.2305
84,0.0112,0.2298
85,0.0113,0.2295
86,0.0113,0.2292
87,0.0111,0.229
88,0.0111,0.229
89,0.0112,0.2295
90,0.0112,0.2285
91,0.0114,0.2268
92,0.0112,0.2265
93,0.0111,0.2263
94,0.0114,0.2256
95,0.0113,0.2252
96,0.0112,0.2248
97,0.0112,0.2242
98,0.0108,0.2247
99,0.0111,0.2245
100,0.0111,0.2231
101,0.0114,0.2225
102,0.011,0.2223
103,0.0112,0.2216
104,0.0111,0.2215
105,0.0112,0.2208
106,0.0112,0.2202
107,0.0113,0.2198
108,0.011,0.2195
109,0.011,0.219
110,0.0109,0.22
111,0.011,0.219
112,0.011,0.2181
113,0.0108,0.2176
114,0.0109,0.2168
115,0.0109,0.2163
116,0.0109,0.2167
117,0.0108,0.2156
118,0.011,0.2148
119,0.0109,0.2154
120,0.0108,0.2151
121,0.0108,0.2137
122,0.0108,0.2131
123,0.0108,0.2125
124,0.0109,0.2122
125,0.0107,0.2123
126,0.0108,0.2116
127,0.0107,0.211
128,0.0108,0.2102
129,0.0107,0.2105
130,0.0107,0.2094
131,0.0107,0.209
132,0.0107,0.2092
133,0.0108,0.2093
134,0.011,0.2125
135,0.0107,0.2067
136,0.0108,0.2072
137,0.0106,0.2065
138,0.0108,0.2054
139,0.0108,0.2047
140,0.0107,0.2045
141,0.0108,0.2069
142,0.0107,0.2031
143,0.0106,0.2038
144,0.0108,0.2022
145,0.0107,0.202
146,0.0105,0.2019
147,0.0107,0.2007
148,0.0105,0.2007
149,0.0106,0.2002
150,0.0107,0.1992
151,0.0106,0.2003
152,0.0105,0.199
153,0.0107,0.1977
154,0.0105,0.1974
155,0.0105,0.1971
156,0.0105,0.1971
157,0.0106,0.1959
158,0.0106,0.1969
159,0.0105,0.1955
160,0.0105,0.1948
161,0.0107,0.1961
162,0.0105,0.1945
163,0.0106,0.1929
164,0.0105,0.1922
165,0.0105,0.193
166,0.0107,0.1969
167,0.0104,0.191
168,0.0105,0.19
169,0.0106,0.1892
170,0.0106,0.1893
171,0.0105,0.1886
172,0.0104,0.1884
173,0.0105,0.1873
174,0.0104,0.1868
175,0.0104,0.1862
176,0.0103,0.1865
177,0.0105,0.1852
178,0.0104,0.1851
179,0.0104,0.1843
180,0.0103,0.1839
181,0.0105,0.1831
182,0.0103,0.1833
183,0.0105,0.182
184,0.0104,0.1814
185,0.0105,0.1808
186,0.0104,0.1806
187,0.0103,0.1812
188,0.0103,0.1798
189,0.0104,0.1789
190,0.0105,0.1781
191,0.0104,0.1775
192,0.0103,0.1772
193,0.0102,0.1769
194,0.0105,0.1757
195,0.0103,0.1756
196,0.0101,0.1753
197,0.0101,0.1749
198,0.0102,0.1739
199,0.0102,0.1739
