(py37Retinex) D:\Zou\RetinexNet_PyTorch-master\RetinexNet_PyTorch-master>python train_improved.py --data_dir ./ --batch_size 2 --patch_size 64 --epochs 30 --lr 0.000003
训练数据数量: 485
Epoch [1/30], Batch [228/242], Decom Loss: 0.0178, Relight Loss: 0.3889
Epoch [1/30], Batch [229/242], Decom Loss: 0.0179, Relight Loss: 0.3888
Epoch [1/30], Batch [230/242], Decom Loss: 0.0171, Relight Loss: 0.3888
Epoch [1/30], Batch [231/242], Decom Loss: 0.0185, Relight Loss: 0.3889
Epoch [1/30], Batch [232/242], Decom Loss: 0.0183, Relight Loss: 0.3888
Epoch [1/30], Batch [233/242], Decom Loss: 0.0182, Relight Loss: 0.3888
Epoch [1/30], Batch [234/242], Decom Loss: 0.0175, Relight Loss: 0.3888
Epoch [1/30], Batch [235/242], Decom Loss: 0.0173, Relight Loss: 0.3888
Epoch [1/30], Batch [236/242], Decom Loss: 0.0181, Relight Loss: 0.3888
Epoch [1/30], Batch [237/242], Decom Loss: 0.0171, Relight Loss: 0.3890
Epoch [1/30], Batch [238/242], Decom Loss: 0.0171, Relight Loss: 0.3887
Epoch [1/30], Batch [239/242], Decom Loss: 0.0166, Relight Loss: 0.3887
Epoch [1/30], Batch [240/242], Decom Loss: 0.0177, Relight Loss: 0.3887
Epoch [1/30], Batch [241/242], Decom Loss: 0.0177, Relight Loss: 0.3887
Epoch [1/30], Batch [242/242], Decom Loss: 0.0181, Relight Loss: 0.3887
Epoch [2/30], Batch [1/242], Decom Loss: 0.0173, Relight Loss: 0.3886
Epoch [2/30], Batch [2/242], Decom Loss: 0.0179, Relight Loss: 0.3888
Epoch [2/30], Batch [3/242], Decom Loss: 0.0183, Relight Loss: 0.3888
Epoch [2/30], Batch [4/242], Decom Loss: 0.0176, Relight Loss: 0.3889
Epoch [2/30], Batch [5/242], Decom Loss: 0.0172, Relight Loss: 0.3887
Epoch [2/30], Batch [6/242], Decom Loss: 0.0166, Relight Loss: 0.3886
Epoch [2/30], Batch [7/242], Decom Loss: 0.0179, Relight Loss: 0.3887
Epoch [2/30], Batch [8/242], Decom Loss: 0.0179, Relight Loss: 0.3887
Epoch [2/30], Batch [9/242], Decom Loss: 0.0180, Relight Loss: 0.3887
Epoch [2/30], Batch [10/242], Decom Loss: 0.0175, Relight Loss: 0.3886
Epoch [2/30], Batch [11/242], Decom Loss: 0.0171, Relight Loss: 0.3886
Epoch [2/30], Batch [12/242], Decom Loss: 0.0177, Relight Loss: 0.3886
Epoch [2/30], Batch [13/242], Decom Loss: 0.0170, Relight Loss: 0.3886
Epoch [2/30], Batch [14/242], Decom Loss: 0.0172, Relight Loss: 0.3886
Epoch [2/30], Batch [15/242], Decom Loss: 0.0167, Relight Loss: 0.3885
Epoch [2/30], Batch [16/242], Decom Loss: 0.0162, Relight Loss: 0.3884
Epoch [2/30], Batch [17/242], Decom Loss: 0.0174, Relight Loss: 0.3886
Epoch [2/30], Batch [18/242], Decom Loss: 0.0176, Relight Loss: 0.3886
Epoch [2/30], Batch [19/242], Decom Loss: 0.0177, Relight Loss: 0.3886
Epoch [2/30], Batch [20/242], Decom Loss: 0.0167, Relight Loss: 0.3884
Epoch [2/30], Batch [21/242], Decom Loss: 0.0172, Relight Loss: 0.3885
Epoch [2/30], Batch [22/242], Decom Loss: 0.0174, Relight Loss: 0.3885
